origin_date,target_date,horizon,origin_close,pred_close,actual_close,pred_delta,actual_delta,confidence,abs_error,ape_pct,dir_match,direction,regime,pre_guard_return_pct,pred_return_pct,direction_guard,confidence_guard,up_probability,trend_regime_code,trend_signal,jump_regime_code,jump_signal,branch_name,branch_used
2026-08-10,2026-08-24,10,948.2,948.7,1006.82,0.5,58.62,5.3,58.12,5.772631,True,涨,normal,0.312,0.062,low_confidence_decay,direction_guard_dampen|tiny_edge_confidence_dampen,0.7118,1.0,1.021,1.0,1.134,,False
2026-08-11,2026-08-24,9,949.94,948.64,1006.82,-1.3,56.88,15.7,58.18,5.77859,False,跌,normal,1.747,-0.161,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.7867,1.0,0.954,0.0,0.714,trend_up,True
2026-08-11,2026-08-25,10,949.94,948.57,1004.22,-1.37,54.28,16.6,55.65,5.541614,False,跌,normal,1.152,-0.17,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.8472,1.0,0.954,0.0,0.714,trend_up,True
2026-08-12,2026-08-24,8,958.54,970.1,1006.82,11.56,48.28,17.3,36.72,3.647127,True,涨,normal,7.096,1.419,low_confidence_decay,direction_guard_dampen,0.8264,1.0,0.92,0.0,0.69,trend_up,True
2026-08-12,2026-08-25,9,958.54,969.85,1004.22,11.31,45.68,21.8,34.37,3.422557,True,涨,normal,6.938,1.388,low_confidence_decay,direction_guard_dampen,0.9529,1.0,0.92,0.0,0.69,trend_up,True
2026-08-12,2026-08-26,10,958.54,963.78,1003.0,5.24,44.46,19.4,39.22,3.910269,True,涨,normal,3.215,0.643,low_confidence_decay,direction_guard_dampen,0.9139,1.0,0.92,0.0,0.69,trend_up,True
2026-08-13,2026-08-24,7,952.96,951.81,1006.82,-1.15,53.86,16.1,55.01,5.463737,False,跌,normal,0.519,-0.142,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.2255,0.0,0.191,0.0,0.876,normal,True
2026-08-13,2026-08-25,8,952.96,951.73,1004.22,-1.23,51.26,22.1,52.49,5.226942,False,跌,normal,1.907,-0.152,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.9864,0.0,0.191,0.0,0.876,normal,True
2026-08-13,2026-08-26,9,952.96,951.66,1003.0,-1.3,50.04,20.7,51.34,5.118644,False,跌,normal,3.46,-0.161,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.9175,0.0,0.191,0.0,0.876,normal,True
2026-08-13,2026-08-27,10,952.96,951.59,995.3,-1.37,42.34,22.7,43.71,4.391641,False,跌,normal,2.573,-0.17,low_confidence_bullish_carry_rollover_guard,direction_guard_dampen,0.9964,0.0,0.191,0.0,0.876,normal,True
2026-08-14,2026-08-24,6,943.16,940.81,1006.82,-2.35,63.66,20.6,66.01,6.556286,False,跌,normal,0.49,-0.293,bearish_guard,direction_guard_dampen,0.1627,-1.0,0.396,0.0,0.688,trend_down,True
2026-08-14,2026-08-25,7,943.16,940.62,1004.22,-2.54,61.06,10.2,63.6,6.333274,False,跌,normal,1.322,-0.317,bearish_guard,direction_guard_dampen,0.4361,-1.0,0.396,0.0,0.688,trend_down,True
2026-08-14,2026-08-26,8,943.16,941.53,1003.0,-1.63,59.84,12.8,61.47,6.128614,False,跌,normal,2.176,-0.203,bearish_guard,direction_guard_dampen,0.6843,-1.0,0.396,0.0,0.688,trend_down,True
2026-08-14,2026-08-27,9,943.16,941.43,995.3,-1.73,52.14,18.8,53.87,5.412438,False,跌,normal,4.374,-0.216,bearish_guard,direction_guard_dampen,0.8533,-1.0,0.396,0.0,0.688,trend_down,True
2026-08-14,2026-08-28,10,943.16,941.34,999.28,-1.82,56.12,18.5,57.94,5.798175,False,跌,normal,4.922,-0.227,bearish_guard,direction_guard_dampen,0.8635,-1.0,0.396,0.0,0.688,trend_down,True
2026-08-17,2026-08-24,5,955.72,955.65,1006.82,-0.07,51.1,20.3,51.17,5.082338,False,平,normal,-0.008,-0.008,none,tiny_edge_confidence_dampen,0.9532,1.0,0.216,0.0,0.617,trend_up,True
2026-08-17,2026-08-25,6,955.72,953.18,1004.22,-2.54,48.5,36.6,51.04,5.082552,False,跌,normal,-0.313,-0.313,none,none,0.9355,1.0,0.216,0.0,0.617,trend_up,True
2026-08-17,2026-08-26,7,955.72,954.57,1003.0,-1.15,47.28,20.9,48.43,4.828514,False,跌,normal,0.451,-0.142,long_low_confidence_fragility_guard,direction_guard_dampen,0.8816,1.0,0.216,0.0,0.617,trend_up,True
2026-08-17,2026-08-27,8,955.72,954.49,995.3,-1.23,39.58,22.8,40.81,4.100271,False,跌,normal,0.555,-0.152,long_low_confidence_fragility_guard,direction_guard_dampen,0.9376,1.0,0.216,0.0,0.617,trend_up,True
2026-08-17,2026-08-28,9,955.72,954.41,999.28,-1.31,43.56,22.4,44.87,4.490233,False,跌,normal,1.89,-0.161,long_low_confidence_fragility_guard,direction_guard_dampen,0.9611,1.0,0.216,0.0,0.617,trend_up,True
2026-08-17,2026-08-31,10,955.72,954.34,961.92,-1.38,6.2,21.4,7.58,0.788007,False,跌,normal,2.351,-0.17,long_low_confidence_fragility_guard,direction_guard_dampen,0.9404,1.0,0.216,0.0,0.617,trend_up,True
2026-08-18,2026-08-24,4,956.4,942.9,1006.82,-13.5,50.42,31.5,63.92,6.348702,False,跌,normal,-1.66,-1.66,none,none,0.2961,1.0,0.392,0.0,0.604,trend_up,True
