source,label,category,model_type,forecast_date,forecast_close,direction,confidence_pct,mape,direction_accuracy,history_rows,status,note
SHFE_AU_MAIN,SHFE Gold Main,futures,linear,2026-03-26 16:00,1138.25,bullish,99.48,2.1422,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,linear,2026-03-27 16:00,1219.23,bullish,36.27,2.1422,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,linear,2026-03-28 16:00,1054.29,bullish,98.94,2.1422,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,linear,2026-03-29 16:00,1020.15,bullish,65.97,2.1422,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,linear,2026-03-30 16:00,1182.92,bullish,85.2,2.1422,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,boosting,2026-03-26 16:00,1016.12,bearish,90.88,1.6301,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,boosting,2026-03-27 16:00,1048.05,bullish,85.6,1.6301,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,boosting,2026-03-28 16:00,1081.51,bullish,31.66,1.6301,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,boosting,2026-03-29 16:00,1102.56,bullish,89.96,1.6301,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,boosting,2026-03-30 16:00,1103.65,bullish,16.48,1.6301,50.0,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,ensemble,2026-03-26 16:00,1034.33,bullish,56.64,2.0042,47.86,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,ensemble,2026-03-27 16:00,1124.41,bullish,91.15,2.0042,47.86,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,ensemble,2026-03-28 16:00,1182.14,bullish,57.99,2.0042,47.86,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,ensemble,2026-03-29 16:00,1235.1,bullish,93.83,2.0042,47.86,115,ok,Daily result uses the exact 16:00 forecast bar.
SHFE_AU_MAIN,SHFE Gold Main,futures,ensemble,2026-03-30 16:00,1278.9,bullish,48.66,2.0042,47.86,115,ok,Daily result uses the exact 16:00 forecast bar.
COMEX,COMEX Gold Futures,futures,linear,2026-03-26 16:00,4455.22,bearish,37.49,2.5099,45.0,1518,ok,Daily result uses the exact 16:00 forecast bar.
COMEX,COMEX Gold Futures,futures,linear,2026-03-27 16:00,3872.61,bearish,79.68,2.5099,45.0,1518,ok,Daily result uses the exact 16:00 forecast bar.
COMEX,COMEX Gold Futures,futures,linear,2026-03-28 16:00,3554.9,bearish,91.75,2.5099,45.0,1518,ok,Daily result uses the exact 16:00 forecast bar.
COMEX,COMEX Gold Futures,futures,linear,2026-03-29 16:00,3296.48,bearish,90.33,2.5099,45.0,1518,ok,Daily result uses the exact 16:00 forecast bar.
COMEX,COMEX Gold Futures,futures,linear,2026-03-30 16:00,3056.84,bearish,88.73,2.5099,45.0,1518,ok,Daily result uses the exact 16:00 forecast bar.
